date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:42:20	14133/14133	---M--	200	added ('OK')	image/png	etag:%2264526521-3735%22	https://sudoariel.github.io/assets/medias/github.png	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/assets/medias/github.png	(from https://sudoariel.github.io/)
16:42:21	9767/9767	---M--	200	added ('OK')	image/png	etag:%2264526521-2627%22	https://sudoariel.github.io/assets/medias/facebook.png	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/assets/medias/facebook.png	(from https://sudoariel.github.io/)
16:42:22	6187/6187	---M--	200	added ('OK')	image/png	etag:%2264526521-182b%22	https://sudoariel.github.io/assets/medias/instagram.png	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/assets/medias/instagram.png	(from https://sudoariel.github.io/)
16:42:24	85751/85751	---M--	200	added ('OK')	application/pdf	etag:%2264526521-14ef7%22	https://sudoariel.github.io/attachments/CV.pdf	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/attachments/CV.pdf	(from https://sudoariel.github.io/)
16:42:25	78357/78357	---M--	200	added ('OK')	image/png	etag:%2264526521-13215%22	https://sudoariel.github.io/assets/console.png	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/assets/console.png	(from https://sudoariel.github.io/)
16:42:25	52497/52497	---M--	200	added ('OK')	image/png	etag:%2264526521-cd11%22	https://sudoariel.github.io/assets/cards/android3.png	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/assets/cards/android3.png	(from https://sudoariel.github.io/)
16:42:27	23233/23233	---M--	200	added ('OK')	image/png	etag:%2264526521-5ac1%22	https://sudoariel.github.io/assets/cards/android2.png	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/assets/cards/android2.png	(from https://sudoariel.github.io/)
16:42:27	26565/26565	---M--	200	added ('OK')	image/png	etag:%2264526521-67c5%22	https://sudoariel.github.io/assets/cards/python.png	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/assets/cards/python.png	(from https://sudoariel.github.io/)
16:42:29	23890/23890	---M--	200	added ('OK')	image/png	etag:%2264526521-5d52%22	https://sudoariel.github.io/assets/cards/cpp.png	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/assets/cards/cpp.png	(from https://sudoariel.github.io/)
16:42:29	25711/25711	---M--	200	added ('OK')	image/png	etag:%2264526521-646f%22	https://sudoariel.github.io/assets/cards/c-sharp.png	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/assets/cards/c-sharp.png	(from https://sudoariel.github.io/)
16:42:30	9359/9359	---M--	200	added ('OK')	image/png	etag:%2264526521-248f%22	https://sudoariel.github.io/assets/timeline/volvo.png	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/assets/timeline/volvo.png	(from https://sudoariel.github.io/)
16:42:31	6650/6650	---M--	200	added ('OK')	image/jpeg	etag:%2264526521-19fa%22	https://sudoariel.github.io/assets/timeline/ford.jpeg	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/assets/timeline/ford.jpg	(from https://sudoariel.github.io/)
16:42:32	5631/5631	---M--	200	added ('OK')	image/jpeg	etag:%2264526521-15ff%22	https://sudoariel.github.io/assets/timeline/zoom.jpeg	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/assets/timeline/zoom.jpg	(from https://sudoariel.github.io/)
16:42:33	1992/1992	---M--	200	added ('OK')	image/png	etag:%2264526521-7c8%22	https://sudoariel.github.io/assets/timeline/senai.png	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/assets/timeline/senai.png	(from https://sudoariel.github.io/)
16:42:35	117298/117298	---M--	200	added ('OK')	image/png	etag:%2264526521-1ca32%22	https://sudoariel.github.io/assets/timeline/ufba.png	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/assets/timeline/ufba.png	(from https://sudoariel.github.io/)
16:42:35	6063/6063	---M--	200	added ('OK')	image/jpeg	etag:%2264526521-17af%22	https://sudoariel.github.io/assets/timeline/senai_cimatec.jpeg	/storage/emulated/0/HTTrack/Websites/portfolio/sudoariel.github.io/assets/timeline/senai_cimatec.jpg	(from https://sudoariel.github.io/)
